MAGV,TENGV,MAKHOA,HOCHAM,HOCVI,EMAIL,SDT,USERNAME,PASSWORD,MOTA
DH065875,Nguyễn Thị Hoài,7480101,Phó giáo sư,TSKH,hoaint@uit.edu.vn,1345739963,hoaint,tuoidep,"dạy các môn IT001,IT003"
DH698531,Trần Thị Thuỳ Linh,7480103,Giáo sư,Th.S,linhttt@uit.edu.vn,2987413567,linhttt,xinhxan,"dạy các môn IT002,IS213"
DH796253,Nguyễn Văn Tuấn,7480106,Giáo sư,TSKH,tuannv@uit.edu.vn,1235746941,tuannv,dangyeu,"dạy các môn IT006,IT007"
DH478963,Trần Văn Minh,7480201,Phó giáo sư,TS,minhtv@uit.edu.vn,1357642570,minhtv,chandai,"dạy các môn IE106,IE104"
DH151754,Trần Tuấn Tú,7480101,Giáo sư,TS,tutt@uit.edu.vn,1234656226,tutt,cuocsong,dạy môn IT009 
DH645398,Trần Văn Thông,7480103,Giáo sư,TSKH,thongtv@uit.edu.vn,9562626226,thongtv,khoemanh,"dạy môn IS605,IT004"
DH687542,Nguyễn Tiến Dũng,7480106,Phó giáo sư,Th.S,dungnt@uit.edu.vn,5262120266,dungnt,takeking,"dạy môn IT004, IE102"
DH987632,Nguyễn Phát Tài,7480201,Phó giáo sư,TSKH,tainp@uit.edu.vn,7754435354,tainp,stronghealth,"dạy môn IT001,IT003"
DH675321,Chính Minh Chu,7480103,Phó giáo sư,KS,chucm@uit.edu.vn,4341534434,chucm,singlink,"dạy môn IT002,IT008"
DH856121,Hồ Trọng Thoại,7480106,Giáo sư,TS,thoaiht@uit.edu.vn,4534534554,thoaiht,stayhome,"dạy môn IT005, IS204"
