MAGV,TENGV,MAKHOA,HOCHAM,HOCVI,EMAIL,SDT,USERNAME,PASSWORD
DH134498,Nguyễn Thị Hoài,7480101,Giáo sư,TSKH,hoaint@uit.edu.vn,1345739963,DH134498,Insurance
DH153472,Trần Thị Thuỳ Linh,7480201,Giáo sư,TSKH,linhttt@uit.edu.vn,1987413567,DH153472,Discontinue
DH796253,Nguyễn Văn Tuấn,7480101,Phó giáo sư,TS,tuannv@uit.edu.vn,1235746941,DH796253,Attention
DH478963,Trần Văn Minh,7480201,Phó giáo sư,TS,minhtv@uit.edu.vn,1357642570,DH478963,Announce
DH151754,Trần Tuấn Tú,7480201,Giáo sư,TS,tutt@uit.edu.vn,1234656226,DH151754,Estimate
DH645398,Trần Văn Thông,7480101,Giáo sư,TSKH,thongtv@uit.edu.vn,1562626226,DH645398,Apologize
DH687542,Nguyễn Tiến Dũng,7480201,Phó giáo sư,Th.S,dungnt@uit.edu.vn,1262120266,DH687542,Remember
DH987632,Nguyễn Phát Tài,7480201,Phó giáo sư,TSKH,tainp@uit.edu.vn,1754435354,DH987632,Hygiene
DH675321,Chính Minh Chu,7480101,Phó giáo sư,Th.S,chucm@uit.edu.vn,1341534434,DH675321,Considerable
DH856121,Hồ Trọng Thoại,7480101,Giáo sư,TS,thoaiht@uit.edu.vn,1534534554,DH856121,Encourage
