MSSV,TENSV,MALOP,EMAIL,SDT,USERNAME,PASSWORD,MOTA
16521232,Nguyễn Thị An,CNTT2016,16521232@gm.uit.edu.vn,1645242434,16521232,Semester,Đang học
16521000,Nguyễn Chí Quân,CNTT2016,16521000@gm.uit.edu.vn,1143433143,16521000,Regularly,Đang học
16520001,Trần Minh Tuấn,CNTT2016,16520001@gm.uit.edu.vn,1344345452,16520001,Assignment,Đang học
16523142,Trần Thị Hoài,CNTT2016,16523142@gm.uit.edu.vn,1144354453,16523142,Throughout,Đang học
16529863,Nguyễn Sỹ Hiếu,CNTT2016,16529863@gm.uit.edu.vn,1555434534,16529863,Schedule,Đang học
16543987,Phạm Hoài An,CNTT2016,16543987@gm.uit.edu.vn,1643254543,16543987,Regarding,Đang học
16534795,Ngô Văn Chinh,CNTT2016,16534795@gm.uit.edu.vn,1534534534,16534795,Concerning,Đang học
16523546,Bùi Tiến Dũng,CNTT2016,16523546@gm.uit.edu.vn,1534542011,16523546,Remaining,Đang học
16520002,Bùi Kim Quyên,CNTT2016,16520002@gm.uit.edu.vn,1643254544,16520002,Guarantee,Đang học
16520003,Võ An Phước ,CNTT2016,16520003@gm.uit.edu.vn,1643254545,16520003,Consecutive,Đang học
16529003,Nguyễn Trân,KHMT2016,16529003@gm.uit.edu.vn,1643254546,16529003,Receive,Đang học
16520004,Phan Vinh Bính,KHMT2016,16520004@gm.uit.edu.vn,1643254547,16520004,Unfortunately,Đang học
16520005,Võ Minh Thư,KHMT2016,16520005@gm.uit.edu.vn,1643254548,16520005,Decision,Đang học
16520006,Phan Huỳnh Ngọc,KHMT2016,16520006@gm.uit.edu.vn,1643254549,16520006,Current,Đang học
16520007,Nguyễn Vân Anh,KHMT2016,16520007@gm.uit.edu.vn,1643254550,16520007,Similar,Đang học
16520008,Nguyễn Thế Vinh,KHMT2016,16520008@gm.uit.edu.vn,1643254551,16520008,Inform,Đang học
16520009,Lê Minh Vương,KHMT2016,16520009@gm.uit.edu.vn,1643254552,16520009,Tolerate,Đang học
16520010,Trương Gia Mẫn,KHMT2016,16520010@gm.uit.edu.vn,1643254553,16520010,During,Đang học
16520011,Vương Thu Hiền,KHMT2016,16520011@gm.uit.edu.vn,1643254554,16520011,Suspension,Đang học
16520012,Châu Thị Kim,KHMT2016,16520012@gm.uit.edu.vn,1643254555,16520012,Deadline,Đang học
17520013,Trần Ngọc Trang,CNTT2017,17520013@gm.uit.edu.vn,1643254556,17520013,Reject,Đang học
17520014,Cao Minh Hiền,CNTT2017,17520014@gm.uit.edu.vn,1643254557,17520014,Aspect,Đang học
17520015,Võ Thị Tuyết,CNTT2017,17520015@gm.uit.edu.vn,1643254558,17520015,Submit,Đang học
17520016,Mai Khánh Vân,CNTT2017,17520016@gm.uit.edu.vn,1643254559,17520016,Dismiss,Đang học
17520017,Đoàn Thị Mỹ,CNTT2017,17520017@gm.uit.edu.vn,1643254560,17520017,Fire,Đang học
17520018,Phan Trung Hải,CNTT2017,17520018@gm.uit.edu.vn,1643254561,17520018,Potential,Đang học
17520019,Lâm Ngọc Linh,CNTT2017,17520019@gm.uit.edu.vn,1643254562,17520019,Significantly,Đang học
17520020,Nguyễn Minh Châu,CNTT2017,17520020@gm.uit.edu.vn,1643254563,17520020,Campaign,Đang học
17520021,Hàn Uyên,CNTT2017,17520021@gm.uit.edu.vn,1643254564,17520021,Different,Đang học
17520022,Võ Tường Duy,CNTT2017,17520022@gm.uit.edu.vn,1643254565,17520022,Regret,Đang học
17520023,Trần Thị Kim,KHMT2017,17520023@gm.uit.edu.vn,1643254566,17520023,Protect,Đang học
17520024,Huỳnh Kim Hoàng,KHMT2017,17520024@gm.uit.edu.vn,1643254567,17520024,Separately,Đang học
17520025,Phước Uyên Thư,KHMT2017,17520025@gm.uit.edu.vn,1643254568,17520025,Damage,Đang học
17520026,Lê Trung Kiên,KHMT2017,17520026@gm.uit.edu.vn,1643254569,17520026,Annual,Đang học
17520027,Sity- HaChar,KHMT2017,17520027@gm.uit.edu.vn,1643254570,17520027,Feature,Đang học
17520028,Kiều Hồng Trang,KHMT2017,17520028@gm.uit.edu.vn,1643254571,17520028,Information,Đang học
17520029,Phạm Văn Đồng,KHMT2017,17520029@gm.uit.edu.vn,1643254572,17520029,Agent,Đang học
17520030,Lê Thị Lệ Thủy,KHMT2017,17520030@gm.uit.edu.vn,1643254573,17520030,Representative,Đang học
17520031,Trương Yến Thanh,KHMT2017,17520031@gm.uit.edu.vn,1643254574,17520031,Essential,Đang học
17520032,Trần Thị Cẩm,KHMT2017,17520032@gm.uit.edu.vn,1643254575,17520032,Airplane,Đang học
